date,close,volume,open,high,low
2017/09/20,18.92,116988,18.89,19.12,18.7485
2017/09/21,19.02,353656,18.8,19.29,18.15
2017/09/22,18.97,156701,19,19.0633,18.41
2017/09/25,18.95,168945,19,19.12,18.62
2017/09/26,17.02,471506,18.88,18.98,17.0101
2017/09/27,16.77,317838,17.23,17.34,16.1601
2017/09/28,17.51,283979,16.99,18.0592,16.5
2017/09/29,17.87,132780,17.75,18.01,17.3001
2017/10/02,18.39,413266,18.09,18.95,17.52
2017/10/03,19.12,532721,18.75,19.23,17.81
2017/10/04,19.09,418329,19.16,19.47,18.61
2017/10/05,19.19,311543,19.05,19.29,18.35
2017/10/06,19.3,315371,19.21,19.53,19.0671
2017/10/09,19.7,194407,19.45,19.83,19.35
2017/10/10,19.45,153218,19.66,19.66,19.26
2017/10/11,18.8,148401,19.35,19.59,18.61
2017/10/12,18.72,160267,18.78,19.0731,18.51
2017/10/13,18.42,225956,18.7,18.91,17.8901
2017/10/16,18.44,173819,18.6,18.87,17.951
2017/10/17,18.3,174710,18.5,19,18.09
2017/10/18,17.79,201752,18.45,18.51,17.59
2017/10/19,18.97,276637,17.55,19.17,17.55
2017/10/20,19.07,240823,18.95,19.43,18.79
2017/10/23,19.4,287350,19.24,19.6999,19.1
2017/10/24,19.29,123654,19.29,19.67,19.1
2017/10/25,18.94,232712,19.29,19.59,18.3
2017/10/26,18.49,177706,19.03,19.09,18.2903
2017/10/27,18.95,164879,18.51,19,18.37
2017/10/30,19.01,190077,18.96,19.25,18.775
2017/10/31,19.3,287570,19.17,19.39,19.0618
2017/11/01,18.43,171324,19.4,19.515,18.4
2017/11/02,18.67,120651,18.56,18.74,18.01
2017/11/03,19.05,258554,18.9,19.345,18.85
2017/11/06,18.91,239501,19.22,19.23,18.65
2017/11/07,18.13,238721,18.87,18.87,18
2017/11/08,17.94,182935,18.02,18.35,17.53
2017/11/09,16.95,355911,17.94,17.94,16.51
2017/11/10,17.45,123368,16.95,17.56,16.9
2017/11/13,17.75,236184,17.73,18.01,17.428
2017/11/14,17.46,228591,17.75,17.921,16.7
2017/11/15,17.66,125971,17.32,17.76,17.27
2017/11/16,18.42,435262,17.86,18.865,17.7609
2017/11/17,18.59,270080,18.45,18.7,18.111
2017/11/20,19.04,514640,18.6,19.35,18.6
2017/11/21,19.09,331263,19.25,19.49,18.96
2017/11/22,19.81,813692,19.25,20.05,19.2
2017/11/24,20.02,194020,20.03,20.38,19.84
2017/11/27,19.55,275376,20.24,20.24,19.1932
2017/11/28,19.21,245087,19.76,19.76,18.7
2017/11/29,18.66,195111,19.42,19.44,18.5
2017/11/30,18.99,271629,18.87,19.2,18.72
2017/12/01,19.12,324161,19.05,19.5,18.5
2017/12/04,18.26,421072,19.42,19.71,18.03
2017/12/05,18.52,154543,18.3,18.92,18.3
2017/12/06,18.53,197582,18.44,18.7796,17.9
2017/12/07,19.14,285800,18.79,19.385,18.55
2017/12/08,18.88,272599,19.35,19.54,18.65
2017/12/11,18.41,367314,19.32,19.45,17.9101
2017/12/12,17.89,509023,18.61,18.99,17.399
2017/12/13,18.3,251574,17.89,18.53,17.74
2017/12/14,19.05,452933,18.45,19.31,18.45
2017/12/15,19.17,999321,19,19.62,18.67
2017/12/18,19.94,226977,19.4,20,19.31
2017/12/19,19.1,212429,20,20,19.0562
2017/12/20,19.01,193752,19.01,19.22,18.66
2017/12/21,19.58,357498,18.94,19.8,18.925
2017/12/22,21.15,739293,19.96,21.28,19.74
2017/12/26,21.29,390694,21.32,21.5,20.651
2017/12/27,21.09,426629,21.3,21.4,20.65
2017/12/28,21.25,461875,21.26,21.75,20.91
2017/12/29,23.48,848356,21.42,25,21.42
2018/01/02,25.17,1223164,24,27.39,24
2018/01/03,23.52,1065151,24.1,24.242,23.01
2018/01/04,23.91,706361,23.99,25.09,23.55
2018/01/05,26.81,3993416,23.58,28.499,23.28
2018/01/08,26.07,1798565,23.8,26.65,23.5
2018/01/09,25.49,642615,26.7,26.98,24.83
2018/01/10,25.77,292400,25.46,25.89,25
2018/01/11,28.44,703963,25.9,28.97,25.8722
2018/01/12,28.52,896986,29.47,30.79,28.24
2018/01/16,27.18,732229,28.24,28.8339,26.5
2018/01/17,28.34,481026,26.93,28.85,26.92
2018/01/18,30.08,575804,28.5,30.6992,27.501
2018/01/19,29.73,386254,30.12,30.96,28.81
2018/01/22,33.75,804493,31,34.18,30.562
2018/01/23,38.78,2299202,36.34,39.19,34.77
2018/01/24,37.46,807451,38.89,39.28,35.8
2018/01/25,40.45,915567,37.72,41.57,37.48
2018/01/26,39.45,997181,41.04,42.9,39.45
2018/01/29,44.39,1020977,39.45,44.65,39.01
2018/01/30,41.7,1136311,42.56,45,40.21
2018/01/31,39.28,1132959,43.79,43.79,37.73
2018/02/01,38.48,1101316,39.15,39.88,35.35
2018/02/02,36.91,748954,37.61,37.91,35.3
2018/02/05,35.63,962359,35.8,38.38,35
2018/02/06,36.56,965212,34.52,37.3,33.8
2018/02/07,41.67,2028978,37.76,44.1688,37.18
2018/02/08,38.64,977707,42.08,42.78,38.52
2018/02/09,34.88,2071800,38.68,39,32.23
2018/02/12,37.37,877424,37.01,38,35.23
2018/02/13,40.11,612118,37.19,40.11,36.5562
2018/02/14,40.21,835393,40.51,41.59,38.93
2018/02/15,40.62,475058,41.18,41.46,39.323
2018/02/16,40.01,612594,40.88,42.11,39.4854
2018/02/20,41.61,819767,39.9,42.44,39.8121
2018/02/21,41.16,1559572,41.6,43.44,41.09
2018/02/22,41.92,699165,42,42.35,40.1631
2018/02/23,43.04,634480,42.63,43.2,41.28
2018/02/26,48.34,1891467,43.75,49.7228,43.51
2018/02/27,46.29,1563266,48.55,51,45.76
2018/02/28,48.46,1031545,47.16,49.22,47.105
2018/03/01,46.54,874353,48.4,48.6,45.67
2018/03/02,50.02,1113518,45,51,43.6
2018/03/05,49.4,865667,50.51,51.6,48.75
2018/03/06,48.93,607873,49.52,50.47,48.2698
2018/03/07,51.49,1513208,48.02,52.95,48.01
2018/03/08,53.7,1053284,53.07,54.89,52.53
2018/03/09,56.72,2447373,55.69,61.24,55.65
2018/03/12,56.8,1468942,58.61,60.5162,54.06
2018/03/13,56.51,1454465,56.71,56.84,53.1
2018/03/14,58.17,1566916,57.1,58.5,53.26
2018/03/15,52.6,2780891,58.5,58.95,48.521
2018/03/16,51.77,1111130,53.98,54.85,51.67
2018/03/19,51.52,834653,51,52.5,50.03
2018/03/20,52.56,911535,51.15,53.76,50.6414
2018/03/21,52.16,670013,53.09,53.4,51.22
2018/03/22,52.1,798954,50.88,53.74,50.5178
2018/03/23,52.96,745697,51.56,53.97,50.81
2018/03/26,52.27,1048948,55,55.98,49.51
2018/03/27,44.675,1576474,52.78,52.78,44
2018/03/28,44.86,1602343,45,45.81,40.54
2018/03/29,45.71,975857,45.68,47.03,44.3071
2018/04/02,43.27,855159,45.45,46.008,41.55
2018/04/03,42.62,654153,43.73,44.54,41.1701
2018/04/04,44.15,705902,40.43,44.44,40.25
2018/04/05,42.67,628081,45.1,45.729,41.7606
2018/04/06,43.27,2771900,45.04,49.32,42.55
2018/04/09,44.86,1310659,45.06,47,44.31
2018/04/10,49.27,1337747,45.72,50,45.29
2018/04/11,49.81,1991821,48.53,54.42,48.53
2018/04/12,52.56,1014202,50.84,52.86,50.5
2018/04/13,51.77,843088,53.76,53.975,50.26
2018/04/16,51.18,1053276,53.25,54.48,50.881
2018/04/17,52.73,1030080,52.03,53.04,50.05
2018/04/18,53.22,687170,52.51,53.48,51.75
2018/04/19,57.42,2112177,52.88,58.75,52.88
2018/04/20,54.07,1296167,57.42,58.86,53.7
2018/04/23,49.6,2352555,54,54.45,48.5001
2018/04/24,47.27,1289805,50,51.7241,46.35
2018/04/25,47.78,846478,47.38,48.5493,45.11
2018/04/26,50.07,1383961,48.78,50.53,47.5221
2018/04/27,48.91,1026688,50,50.2064,46.9
2018/04/30,46.86,1417516,50,50.6392,46.55
2018/05/01,47.41,874275,46.97,48.22,46.1
2018/05/02,48.52,955314,47.43,49.23,47.15
2018/05/03,47.77,785843,48.39,48.99,47.57
2018/05/04,49.09,555355,47.83,49.45,47.826
2018/05/07,51.72,1270138,49.56,52.5,49.56
2018/05/08,51.97,1959098,51.45,52.16,46.51
2018/05/09,51.5,912883,52,52.68,50.051
2018/05/10,52.12,843320,51.25,53.45,50.6722
2018/05/11,52.73,942832,52,54.1,51.45
2018/05/14,56.78,2630472,53.33,57.4,52
2018/05/15,57.75,2269551,56.5,59.9126,54.08
2018/05/16,57.65,1227180,58.67,59.03,56.38
2018/05/17,65.4,3803665,57.69,65.99,57.2
2018/05/18,64.68,3244466,65,66.7,61.5
2018/05/21,64.6,1476708,64.98,67.84,63.84
2018/05/22,63.76,1154826,64.995,65.802,62.57
2018/05/23,69.57,1938727,63.32,69.9,63
2018/05/24,69.65,2773700,69.98,73.9,68.11
2018/05/25,69.94,1689083,70.01,72.641,66.83
2018/05/29,68.91,1003576,70,70.395,67.5
2018/05/30,73.59,2151366,68.78,73.88,68.69
2018/05/31,68.91,4956256,62.49,69.3,61.04
2018/06/01,67.13,2377367,70.82,70.995,63.4
2018/06/04,65.97,2172018,66.01,67,61.58
2018/06/05,66.95,1384204,65.1,68.36,64.55
2018/06/06,67.84,767880,67.22,68.63,66.66
2018/06/07,67.01,566872,67.8,68.15,65.58
2018/06/08,68.15,969520,66.3,70.09,66.25
2018/06/11,59.57,8248559,68.99,70,57.2
2018/06/12,59.37,2131742,60.3,62.749,58.1
2018/06/13,59.34,60.199,57.27,57.423,1195094
